step,loss,params,config,heads,layers,hidden,intermediate,high_layers,compress
3100000,1.4074,4605184,8_10_256_256,8,10,256,256,False,True
3120000,1.4091,4605184,8_10_256_256,8,10,256,256,False,True
3140000,1.4082,4605184,8_10_256_256,8,10,256,256,False,True
3160000,1.4084,4605184,8_10_256_256,8,10,256,256,False,True
3180000,1.4097,4605184,8_10_256_256,8,10,256,256,False,True
3200000,1.4096,4605184,8_10_256_256,8,10,256,256,False,True
3220000,1.4064,4605184,8_10_256_256,8,10,256,256,False,True
3240000,1.4083,4605184,8_10_256_256,8,10,256,256,False,True
3260000,1.4075,4605184,8_10_256_256,8,10,256,256,False,True
3280000,1.4064,4605184,8_10_256_256,8,10,256,256,False,True
3300000,1.4074,4605184,8_10_256_256,8,10,256,256,False,True
3320000,1.4074,4605184,8_10_256_256,8,10,256,256,False,True
3340000,1.407,4605184,8_10_256_256,8,10,256,256,False,True
3360000,1.4055,4605184,8_10_256_256,8,10,256,256,False,True
3380000,1.4078,4605184,8_10_256_256,8,10,256,256,False,True
3400000,1.4058,4605184,8_10_256_256,8,10,256,256,False,True
3420000,1.4064,4605184,8_10_256_256,8,10,256,256,False,True
3440000,1.4057,4605184,8_10_256_256,8,10,256,256,False,True
3460000,1.405,4605184,8_10_256_256,8,10,256,256,False,True
3480000,1.4058,4605184,8_10_256_256,8,10,256,256,False,True
3500000,1.4061,4605184,8_10_256_256,8,10,256,256,False,True
3520000,1.4058,4605184,8_10_256_256,8,10,256,256,False,True
3540000,1.4055,4605184,8_10_256_256,8,10,256,256,False,True
3560000,1.4042,4605184,8_10_256_256,8,10,256,256,False,True
3580000,1.4048,4605184,8_10_256_256,8,10,256,256,False,True
3600000,1.405,4605184,8_10_256_256,8,10,256,256,False,True
3620000,1.4024,4605184,8_10_256_256,8,10,256,256,False,True
3640000,1.4021,4605184,8_10_256_256,8,10,256,256,False,True
3660000,1.4025,4605184,8_10_256_256,8,10,256,256,False,True
3680000,1.4019,4605184,8_10_256_256,8,10,256,256,False,True
3700000,1.403,4605184,8_10_256_256,8,10,256,256,False,True
3720000,1.4019,4605184,8_10_256_256,8,10,256,256,False,True
3740000,1.4007,4605184,8_10_256_256,8,10,256,256,False,True
3760000,1.4017,4605184,8_10_256_256,8,10,256,256,False,True
3780000,1.4006,4605184,8_10_256_256,8,10,256,256,False,True
3800000,1.401,4605184,8_10_256_256,8,10,256,256,False,True
3820000,1.401,4605184,8_10_256_256,8,10,256,256,False,True
3840000,1.4019,4605184,8_10_256_256,8,10,256,256,False,True
3860000,1.4016,4605184,8_10_256_256,8,10,256,256,False,True
3880000,1.4026,4605184,8_10_256_256,8,10,256,256,False,True
3900000,1.4004,4605184,8_10_256_256,8,10,256,256,False,True
3920000,1.4009,4605184,8_10_256_256,8,10,256,256,False,True
3940000,1.4,4605184,8_10_256_256,8,10,256,256,False,True
3960000,1.3991,4605184,8_10_256_256,8,10,256,256,False,True
3980000,1.3983,4605184,8_10_256_256,8,10,256,256,False,True
4000000,1.3999,4605184,8_10_256_256,8,10,256,256,False,True
